CapShape,CapSurface,CapColor,Bruises,Odor,GillAttachment,GillSpacing,GillSize,GillColor,StalkShape,StalkRoot,StalkSurfaceAboveRing,StalkSurfaceBelowRing,StalkColorAboveRing,StalkColorBelowRing,VeilType,VeilColor,RingNumber,RingType,SporeColor,Population,Habitat,Edible
s,y,e,b,m,a,w,b,r,b,u,k,y,y,y,p,n,n,p,b,c,u,1
x,y,w,b,a,a,c,n,b,b,r,f,k,y,c,u,n,n,c,h,c,p,1
f,g,g,t,f,a,w,b,u,b,r,k,k,n,n,p,n,t,s,h,v,g,1
c,f,e,b,s,d,d,b,y,b,e,k,y,e,b,p,n,o,z,w,v,w,1
k,y,g,t,a,a,w,n,e,t,r,f,k,w,g,p,y,t,f,y,t,l,1
s,g,g,t,c,a,c,n,y,b,b,y,f,y,e,p,n,n,e,y,n,m,1
x,y,e,t,n,n,w,n,n,b,?,f,y,p,y,u,y,n,c,h,c,g,1
k,f,u,t,f,n,d,n,u,b,?,s,y,n,c,u,y,t,e,r,c,d,1
c,y,y,t,a,d,d,b,r,b,?,s,k,o,e,u,y,t,c,b,t,w,1
b,g,y,b,l,n,c,n,k,t,b,y,k,e,n,u,n,n,e,h,n,w,1
k,g,e,b,m,d,w,n,p,b,u,y,s,y,y,u,w,n,f,u,a,l,1
f,y,e,t,p,f,d,n,r,b,b,y,f,p,e,u,w,o,f,u,n,m,1
k,s,u,t,n,f,c,b,p,b,z,k,k,c,g,u,y,o,n,n,a,w,1
s,g,b,t,s,d,w,n,g,t,z,f,s,w,o,u,y,t,f,y,c,g,1
b,s,r,t,p,d,d,n,y,t,r,y,s,p,o,u,n,t,s,o,a,u,1
c,y,y,t,n,d,c,b,h,b,u,k,f,b,p,u,o,n,c,r,c,l,1
s,s,g,t,n,d,w,b,o,t,r,f,f,n,b,p,n,o,s,n,c,m,1
x,g,g,t,l,d,w,n,g,b,r,y,s,o,o,u,n,o,p,y,a,m,1
c,g,y,b,c,n,d,b,g,t,b,y,y,g,e,p,w,t,l,n,a,w,1
x,g,n,b,m,a,d,n,y,b,e,s,s,g,b,p,w,t,p,r,a,p,1
s,f,y,b,f,n,c,b,n,t,c,s,f,p,n,p,n,n,s,u,s,d,1
b,y,p,b,l,d,w,b,p,b,b,y,y,b,w,u,o,n,z,o,s,g,1
x,s,w,t,l,f,c,n,w,b,u,f,f,w,o,u,y,t,l,w,v,w,1
b,f,y,t,n,a,d,n,g,b,z,y,k,w,b,u,w,t,s,n,a,g,1
c,f,p,b,n,a,d,n,w,b,e,s,f,y,b,p,w,o,f,n,a,u,1
k,y,p,t,a,n,d,b,b,t,e,y,f,n,p,u,n,t,l,n,n,l,1
s,y,b,b,a,n,d,b,y,b,z,s,s,y,p,p,y,o,e,b,a,p,1
b,f,y,t,f,d,c,b,w,b,e,s,s,y,y,p,w,t,s,y,n,g,1
c,g,r,t,s,n,w,n,y,t,u,s,k,n,c,u,w,n,l,b,v,g,1
x,f,n,t,s,n,w,n,e,b,?,k,f,g,n,u,n,n,l,h,v,w,1
f,s,u,t,m,d,w,b,g,t,z,y,s,y,o,p,n,o,z,o,s,w,1
k,s,p,t,y,f,c,n,g,t,r,f,k,o,o,p,n,n,z,r,c,u,1
s,s,u,b,n,d,c,b,u,t,?,s,y,b,c,p,n,n,n,h,n,l,1
x,s,b,b,p,a,d,n,u,b,c,s,s,y,b,p,y,t,f,n,t,d,1
c,f,e,b,c,d,d,n,r,b,u,s,f,o,y,p,n,o,c,o,v,l,1
k,g,b,b,a,n,c,b,g,t,e,s,y,p,c,p,w,t,n,h,c,p,1
c,s,n,b,n,n,d,b,u,b,e,f,y,c,g,p,w,n,f,u,s,l,1
b,f,w,b,p,d,w,n,e,b,z,s,s,o,n,p,o,n,n,y,s,m,1
s,y,g,t,l,a,c,n,y,t,b,s,y,p,n,u,o,t,z,n,a,m,1
c,g,n,b,p,d,d,n,o,t,z,f,y,e,n,p,o,n,l,u,s,m,1
f,g,b,b,f,f,c,n,u,b,e,y,f,e,g,u,y,t,f,w,v,d,1
s,g,u,t,s,n,w,n,u,b,?,y,s,w,w,u,y,o,p,o,c,u,1
k,g,u,t,c,n,c,b,h,t,z,k,s,w,o,u,o,n,l,r,a,p,1
b,y,p,t,s,a,w,b,u,b,?,y,y,c,w,u,n,o,s,o,n,g,1
f,s,w,b,m,a,w,n,b,b,e,k,y,w,e,p,n,n,p,n,c,m,1
x,f,r,t,n,d,w,b,g,t,c,k,s,c,y,p,w,t,e,n,c,m,1
f,g,n,t,m,a,w,b,p,b,r,y,s,n,g,u,o,n,l,u,t,m,1
s,s,e,t,p,n,c,n,o,t,?,y,k,w,c,u,y,o,n,w,v,u,1
k,y,b,b,c,a,c,b,o,t,u,y,f,b,y,p,o,n,c,h,a,g,1
k,y,b,b,p,d,w,b,y,b,r,f,k,c,p,u,n,o,e,n,a,u,1
c,s,b,b,a,f,w,b,y,t,c,f,s,c,o,u,y,n,z,n,a,w,1
b,s,c,b,p,d,d,n,h,t,u,y,f,e,w,p,o,n,s,u,s,l,1
c,y,p,b,l,d,c,b,u,b,e,k,k,c,c,u,w,t,f,h,t,g,1
s,f,n,t,s,n,d,n,r,t,z,k,f,e,p,u,w,n,s,k,s,p,1
k,g,n,b,a,a,d,n,y,t,c,f,y,w,n,p,y,t,s,k,a,l,1
x,s,r,t,p,n,c,n,u,b,?,y,k,w,y,u,n,n,z,k,n,u,1
c,f,y,b,n,n,c,n,p,b,?,f,f,o,g,u,o,t,z,n,a,m,1
b,f,r,b,c,d,d,n,k,t,r,y,f,n,p,p,w,o,z,n,t,d,1
c,s,y,t,f,f,w,n,b,t,?,y,s,n,g,p,o,n,p,b,a,w,1
k,s,p,b,f,n,w,n,n,b,r,s,s,w,y,u,n,n,f,u,c,w,1
b,f,y,b,n,a,w,n,e,t,?,f,k,y,p,u,n,o,e,w,t,w,1
b,s,w,b,m,f,d,b,w,b,r,y,k,c,g,u,y,o,f,k,c,l,1
f,s,g,b,n,n,w,b,h,t,b,y,f,o,o,u,o,t,s,w,t,l,1
b,f,b,b,m,f,w,n,n,t,u,s,k,w,p,u,o,o,s,b,a,p,1
s,s,y,t,f,f,c,n,w,b,?,k,s,c,g,u,n,o,c,h,s,g,1
c,y,e,b,m,n,d,b,k,t,?,k,f,g,g,u,y,o,s,o,n,l,1
k,s,n,t,p,a,d,b,w,t,c,y,s,o,y,p,w,o,l,r,v,d,1
k,s,p,t,y,a,d,b,u,t,e,f,f,c,o,u,w,o,n,h,t,g,1
f,g,w,b,f,f,d,n,b,b,?,y,k,p,e,u,w,o,f,u,a,w,1
s,f,n,t,f,a,d,b,o,b,?,y,y,e,e,p,o,o,l,u,v,m,1
s,g,n,t,c,f,d,n,n,b,u,f,f,o,n,p,o,o,n,r,a,p,1
c,y,w,t,s,n,c,b,u,t,e,k,f,b,c,u,n,o,c,n,s,d,1
c,g,p,t,a,n,w,n,n,b,e,s,f,o,b,u,o,n,n,r,s,w,1
f,y,e,b,l,a,w,b,w,b,c,y,k,o,c,u,n,t,l,h,a,w,1
x,y,y,t,f,d,w,n,y,b,r,f,y,n,b,u,o,o,l,u,n,l,1
f,g,e,t,a,d,w,n,w,t,r,f,s,e,g,p,y,t,p,h,n,l,1
s,g,u,b,a,d,w,n,b,t,z,k,k,b,p,p,o,t,p,u,t,m,1
x,g,u,t,f,a,d,b,u,t,u,k,y,n,g,p,n,o,l,k,v,p,1
f,f,c,t,s,d,w,b,n,b,r,k,k,n,c,p,n,n,l,r,c,p,1
s,s,r,b,m,d,d,b,w,b,r,k,s,c,c,u,y,n,f,h,a,u,1
f,s,e,b,s,a,c,b,o,t,e,f,k,n,b,p,o,t,n,w,v,p,1
s,y,y,t,s,d,c,n,g,b,c,k,f,w,y,p,y,n,f,w,n,l,1
k,y,w,t,p,f,w,n,u,b,z,k,k,w,b,u,y,n,n,n,t,p,1
c,f,n,t,p,n,w,n,n,t,e,s,y,e,n,p,w,t,e,o,a,m,1
k,g,b,b,y,n,d,n,w,b,r,k,f,o,g,p,o,t,z,k,s,w,1
f,s,c,t,m,f,c,n,e,b,u,f,k,w,n,u,y,n,l,b,c,p,1
x,f,b,b,c,a,c,n,u,b,c,y,s,o,n,u,y,o,n,h,t,g,1
s,f,g,t,c,f,d,n,k,t,z,k,f,c,y,p,n,t,e,r,n,u,1
f,f,y,b,y,f,d,b,k,b,u,y,y,b,p,u,o,o,z,w,v,p,1
b,y,p,t,s,f,d,b,u,b,?,f,y,o,e,p,n,t,l,b,a,l,1
s,s,u,t,f,f,d,b,b,t,e,f,s,g,e,p,o,o,f,u,t,p,1
s,y,c,b,n,a,w,b,w,b,c,f,k,o,b,p,n,n,p,b,t,m,1
f,s,b,b,s,a,w,b,y,t,z,k,k,o,e,u,y,t,s,y,a,p,1
k,f,b,t,a,d,d,b,u,t,r,k,s,g,b,u,n,n,e,y,v,g,1
f,g,u,b,a,a,c,b,y,t,r,k,y,n,e,u,o,o,n,u,v,g,1
k,s,r,t,m,f,w,b,y,t,e,k,y,w,b,p,n,t,e,k,s,p,1
b,y,b,t,l,d,w,n,b,t,b,y,f,y,b,p,y,t,z,n,t,u,1
x,f,n,b,c,a,d,b,g,t,c,k,k,w,p,u,n,o,p,k,v,m,1
f,s,p,t,m,f,d,n,b,b,z,f,f,c,e,p,y,n,l,u,s,l,1
s,g,g,b,l,f,w,b,o,t,u,k,y,e,y,u,w,t,l,k,c,p,1
s,f,e,t,p,a,c,n,y,b,c,k,k,n,o,p,w,n,s,w,n,p,1
b,g,w,b,n,a,w,b,o,b,r,s,y,e,e,u,y,t,n,u,s,p,1
s,g,b,t,p,a,c,n,y,t,e,s,s,n,y,p,o,n,c,r,a,u,1
x,g,p,t,l,a,d,b,o,b,b,k,k,e,y,u,n,n,p,n,a,g,1
b,f,g,t,p,n,c,n,p,b,c,f,y,e,p,p,n,o,l,n,a,g,1
b,g,c,b,n,n,c,b,y,t,e,s,s,o,c,u,n,n,z,w,t,u,1
c,s,r,t,a,d,d,n,o,t,b,f,k,e,w,u,w,n,c,h,n,d,1
k,g,y,b,p,a,w,n,g,t,?,f,k,g,b,u,y,o,c,n,a,u,1
b,s,e,t,l,a,c,b,w,t,c,f,k,o,y,p,w,t,s,y,c,d,1
k,y,g,t,n,a,d,n,r,t,z,s,k,o,e,p,w,n,p,k,n,l,1
x,y,r,b,f,n,c,b,o,b,c,y,k,g,y,p,w,n,s,w,s,u,1
s,g,e,b,n,f,w,n,b,t,b,f,k,b,w,u,n,n,p,u,c,g,1
x,s,y,b,c,a,c,n,p,t,z,f,k,n,c,p,w,t,s,k,s,u,1
x,f,n,b,a,n,c,b,o,b,u,s,y,p,e,u,o,o,p,r,a,m,1
k,f,w,b,a,d,c,n,g,t,c,y,y,o,g,u,w,o,p,h,n,l,1
s,g,p,t,m,n,w,b,w,t,c,s,f,y,c,u,y,t,s,b,v,g,1
k,f,w,b,l,f,c,n,e,t,?,s,y,p,e,u,y,n,l,u,s,g,1
f,g,w,b,m,f,d,b,b,t,e,f,f,o,b,p,y,t,n,w,s,m,1
f,y,g,b,y,d,c,n,e,t,b,f,f,g,e,u,y,t,s,k,n,g,1
c,s,e,b,y,f,c,b,p,t,z,s,y,b,e,u,w,t,s,n,n,l,1
s,s,n,t,s,f,c,b,w,t,r,k,k,y,p,p,y,n,s,k,s,p,1
x,s,w,b,s,a,w,n,k,t,?,k,k,p,g,p,o,n,c,o,n,d,1
s,g,b,t,a,a,d,n,b,t,?,f,k,n,g,u,n,n,s,h,t,u,1
k,s,y,t,l,f,w,n,y,t,z,k,s,e,o,p,n,t,p,w,n,d,1
f,y,r,b,c,d,c,b,n,t,b,y,f,p,y,u,n,n,c,h,v,w,1
b,f,b,b,a,d,w,n,o,t,z,y,k,c,c,p,o,n,c,u,n,m,1
x,s,w,b,n,f,c,b,k,t,z,f,k,b,w,p,y,t,l,u,c,g,1
c,s,e,b,y,d,d,b,r,t,c,y,k,w,g,u,y,o,l,w,v,u,1
k,f,p,b,s,d,c,n,b,t,u,s,y,c,g,u,y,t,s,n,a,w,1
b,f,w,b,a,f,w,n,k,b,e,f,s,y,g,u,o,t,s,h,t,d,1
s,g,g,t,p,f,w,b,n,t,u,s,s,p,g,u,y,o,p,y,v,m,1
b,f,w,t,a,n,c,b,y,b,?,f,k,b,c,u,w,o,n,w,c,d,1
b,s,c,t,s,f,d,b,y,t,?,y,s,w,n,p,o,t,p,k,v,g,1
f,y,u,b,l,f,d,n,u,t,c,f,y,p,c,p,y,o,f,o,t,l,1
s,y,r,b,c,n,c,n,b,b,z,s,k,c,w,u,w,n,n,b,n,w,1
f,s,b,t,p,n,c,n,u,t,z,f,f,n,p,p,o,o,z,n,t,l,1
s,f,w,b,p,n,w,n,w,b,b,y,s,w,b,u,y,t,f,n,c,g,1
c,y,u,b,l,f,c,b,r,t,b,s,k,c,y,p,w,o,p,r,v,p,1
c,g,g,t,a,n,w,b,y,b,z,f,s,b,b,p,n,o,n,b,t,d,1
k,s,b,b,m,a,d,n,e,t,r,s,y,p,p,p,y,o,z,b,s,u,1
f,f,r,t,l,d,d,b,w,b,?,y,f,c,y,p,n,o,p,r,s,l,1
c,s,b,b,m,n,w,n,p,b,?,f,s,p,p,u,n,o,c,n,a,w,1
c,y,y,b,m,d,d,n,g,b,b,f,y,w,o,p,w,t,l,u,v,u,1
x,g,n,b,f,n,c,n,e,b,z,y,k,n,c,p,w,o,n,o,a,u,1
c,s,u,b,s,a,w,b,p,b,r,k,y,p,y,u,y,o,n,k,c,p,1
x,g,u,b,p,n,c,b,b,t,?,y,y,w,w,u,o,o,s,r,n,l,1
c,y,w,t,a,f,w,n,h,b,z,s,k,c,c,u,y,t,p,k,a,d,1
f,f,w,t,n,d,d,n,n,t,e,k,y,e,w,p,w,n,p,o,n,g,1
b,f,y,b,c,d,d,n,r,b,b,f,f,e,c,p,n,n,c,o,c,d,1
b,f,g,t,s,f,c,n,h,b,?,f,s,g,g,u,o,n,c,h,c,g,1
c,g,e,b,m,d,w,b,u,b,u,s,y,y,p,u,y,n,n,w,s,u,1
b,g,u,b,a,n,w,b,h,b,?,y,k,w,n,u,w,o,z,u,c,d,1
k,f,g,t,l,f,w,b,n,t,b,s,s,y,y,u,w,t,s,n,s,u,1
c,g,c,b,a,n,w,n,y,t,u,y,y,e,n,u,o,n,z,u,s,w,1
k,y,b,t,c,a,d,b,e,b,?,y,f,y,o,p,o,o,c,y,v,g,1
s,g,n,b,l,a,w,b,h,b,r,k,y,c,y,u,n,o,s,n,a,w,1
f,f,w,t,f,f,d,n,w,t,c,f,s,y,e,p,y,t,e,n,n,l,1
s,g,w,t,p,d,c,n,k,b,c,s,k,g,e,u,w,t,n,h,s,g,1
x,y,r,t,s,a,w,b,w,b,r,y,f,n,b,p,y,t,z,r,t,g,1
c,y,g,t,l,a,w,b,b,b,c,y,y,p,y,p,n,n,l,h,s,p,1
f,f,b,b,p,n,c,n,e,b,z,s,f,n,w,u,w,n,s,y,v,m,1
f,s,u,b,a,f,c,n,e,b,r,y,f,y,p,u,w,t,p,o,c,l,1
b,g,g,b,m,f,c,b,u,t,r,s,y,b,e,p,y,o,z,n,c,w,1
b,s,c,t,l,d,w,b,k,b,r,y,s,y,b,u,w,n,z,h,c,l,1
c,s,e,b,m,d,c,n,y,t,b,k,y,o,b,u,y,t,c,b,c,w,1
s,y,y,b,f,d,c,b,w,b,z,s,s,p,p,p,o,t,f,n,s,d,1
c,g,c,t,l,f,c,b,h,t,?,y,y,e,n,p,y,o,f,u,n,g,1
k,y,c,b,m,d,c,b,u,b,b,f,s,n,p,p,w,o,f,w,a,m,1
x,g,c,b,s,f,d,n,h,t,?,k,k,c,n,u,w,t,n,h,n,g,1
f,g,y,b,a,n,w,b,y,b,b,f,f,g,y,p,w,t,c,k,c,u,1
c,g,w,b,s,n,w,b,r,t,z,y,y,c,w,u,n,t,c,h,a,m,1
k,g,y,t,c,a,w,n,k,t,u,s,k,y,b,u,y,n,s,h,a,p,1
k,y,p,t,n,d,d,b,h,b,u,s,k,w,c,p,n,o,l,n,t,u,1
x,y,p,t,n,f,d,b,e,t,c,s,y,y,g,u,y,n,n,b,n,w,1
x,f,u,t,s,f,d,n,r,b,c,s,f,g,n,u,o,o,z,o,t,d,1
f,s,e,t,y,a,w,b,n,t,c,k,f,w,y,u,y,t,f,o,v,d,1
s,y,n,t,s,a,c,n,w,t,c,f,k,b,e,u,n,n,z,y,n,l,1
x,s,u,b,c,f,c,n,p,t,u,s,k,y,e,u,w,o,z,y,s,w,1
x,g,p,t,m,d,w,b,h,b,?,y,s,y,c,p,y,n,s,w,a,p,1
k,f,y,b,n,d,d,b,e,b,e,k,f,n,o,p,w,n,p,b,a,l,1
b,y,c,t,l,d,c,n,p,t,b,s,y,y,c,p,y,n,n,w,n,g,1
f,f,w,b,a,d,d,n,y,b,u,y,s,g,p,p,o,n,f,u,n,p,1
b,f,g,b,m,a,c,b,g,t,r,s,s,p,n,p,n,n,n,h,c,w,1
s,s,w,b,f,d,w,n,g,b,e,k,s,g,w,u,y,n,z,h,t,u,1
f,s,g,b,p,f,d,n,r,t,u,f,k,w,y,p,o,n,f,n,n,l,1
b,g,b,b,n,f,c,b,b,b,e,s,k,g,c,u,w,n,e,h,s,u,1
c,s,y,t,m,a,c,n,b,t,r,k,s,n,n,p,n,o,c,w,v,l,1
b,g,u,b,l,a,c,b,n,t,c,y,s,p,b,u,y,t,s,k,n,w,1
x,y,b,b,y,d,w,n,u,t,c,k,y,o,y,p,n,n,c,w,t,l,1
k,y,r,t,p,f,w,n,w,b,z,f,s,o,b,p,o,t,s,n,s,l,1
f,y,r,b,l,d,d,b,b,t,b,f,f,b,b,p,n,o,z,k,c,w,1
s,y,c,t,n,d,d,b,h,t,?,k,y,o,g,p,o,n,p,o,n,u,1
x,y,n,t,c,n,w,b,h,b,?,k,f,n,y,p,n,t,p,y,s,p,1
f,s,c,b,p,f,d,b,r,t,c,y,y,y,y,p,y,o,e,h,v,d,1
k,s,u,t,c,d,w,n,w,t,e,s,s,y,g,u,y,t,f,b,t,p,1
k,s,b,t,c,d,c,b,h,t,z,f,s,n,e,p,w,n,z,w,c,m,1
b,s,e,t,a,n,w,n,y,t,e,s,s,w,o,p,y,n,n,k,s,g,1
x,y,u,b,m,d,d,n,h,t,c,y,f,w,g,u,w,o,l,w,c,d,1
c,g,g,t,n,f,w,b,k,t,z,s,y,o,b,u,y,n,z,y,v,m,1
c,y,g,b,l,f,w,n,h,t,c,f,s,g,y,u,n,o,n,y,v,d,1
x,s,g,t,y,d,d,b,e,t,u,k,k,p,w,p,w,n,n,r,v,d,1
k,y,u,t,p,n,d,b,p,t,?,f,s,g,w,u,w,o,z,b,s,g,1
k,s,n,b,f,a,d,b,b,t,r,s,k,g,y,p,n,t,n,r,n,p,1
k,s,r,t,s,f,w,b,k,b,b,y,k,b,o,p,o,o,e,u,s,l,1
f,y,r,b,f,a,c,b,n,b,z,s,k,e,y,u,o,o,s,y,t,g,1
c,f,r,b,p,a,c,n,h,b,u,s,f,y,w,p,w,n,p,h,t,u,1
s,g,b,b,s,n,c,n,n,t,u,s,y,b,o,u,w,o,s,n,t,d,1
f,g,e,b,a,f,d,b,b,b,r,k,k,y,w,u,o,t,z,h,v,d,1
b,s,b,b,f,a,d,n,n,t,b,f,k,y,b,p,o,t,n,k,c,l,1
b,f,n,t,a,n,w,b,h,b,r,y,f,p,p,u,o,t,l,b,n,d,1
k,y,y,b,c,a,d,n,g,b,r,s,s,y,p,p,n,n,f,k,a,p,1
k,y,p,t,y,f,d,b,u,t,e,y,y,p,o,p,w,o,s,w,s,g,1
k,y,y,b,y,d,w,n,r,b,z,s,y,e,e,u,n,t,e,y,v,w,1
k,s,u,t,y,n,d,b,e,t,b,k,y,n,o,p,w,o,n,h,s,u,1
k,y,u,t,y,a,d,b,n,b,u,k,f,c,c,p,o,t,l,b,t,g,1
c,g,p,b,f,d,c,n,n,b,?,f,k,n,y,p,n,t,e,y,v,u,1
c,y,u,b,l,n,c,n,p,t,?,f,k,c,e,p,y,o,s,r,t,m,1
k,s,g,b,y,f,w,b,w,b,b,k,k,g,e,p,n,t,z,u,a,m,1
k,g,n,t,s,f,d,n,e,b,c,f,s,p,n,p,w,t,f,w,c,p,1
s,s,c,t,p,a,d,n,g,t,b,k,y,o,b,u,o,t,n,u,s,m,1
b,s,y,b,p,n,w,n,g,t,e,f,f,p,c,u,y,o,n,u,a,l,1
f,f,r,b,c,f,d,n,b,t,z,y,k,g,n,p,o,t,c,u,a,m,1
c,g,u,t,n,f,d,n,p,b,r,y,k,n,g,u,n,o,l,k,t,u,1
f,y,p,b,f,a,c,n,w,b,?,s,y,e,g,p,y,o,e,n,a,p,1
s,y,u,t,c,f,c,n,h,b,?,f,k,o,c,p,w,t,z,u,t,w,1
c,y,r,b,m,f,d,n,g,t,u,k,k,w,o,p,w,o,l,w,t,g,1
b,f,y,t,n,d,d,n,w,t,r,f,f,o,p,u,n,t,n,r,n,p,1
x,g,y,b,m,d,w,n,b,t,c,s,s,p,g,p,o,t,f,r,s,w,1
x,g,e,t,f,a,w,n,e,b,z,k,s,g,w,u,y,o,p,h,n,w,1
k,y,n,b,s,f,d,b,w,t,r,s,y,y,b,p,w,o,n,k,t,p,1
s,g,u,t,f,f,c,n,b,t,c,k,k,o,y,u,n,n,c,k,n,u,1
c,f,c,t,n,n,c,n,b,t,b,y,k,e,o,p,o,n,s,h,t,l,1
x,y,r,b,s,a,w,b,y,t,?,k,s,y,e,p,y,o,z,h,t,m,1
f,g,n,t,c,n,c,b,e,b,?,s,y,w,n,p,y,t,c,y,n,p,1
s,g,u,t,s,a,c,n,e,b,u,s,k,c,w,u,n,n,p,r,a,d,1
b,y,n,b,l,n,c,n,e,t,b,k,s,b,g,p,y,t,z,n,c,l,1
k,g,p,t,n,f,d,n,p,t,u,y,s,n,e,u,y,o,l,u,v,m,1
f,g,g,b,y,d,c,n,h,b,?,y,s,p,b,p,n,o,c,r,t,g,1
s,g,w,b,n,d,w,n,h,b,r,k,y,p,o,p,w,t,s,r,v,u,1
c,g,n,t,f,a,c,b,g,b,c,k,s,o,n,p,w,t,e,b,v,d,1
b,s,u,b,s,n,c,n,u,b,e,s,s,p,e,u,n,t,z,w,s,m,1
f,s,r,b,y,a,d,n,o,t,r,y,f,e,c,u,w,n,e,b,a,d,1
b,y,w,b,f,f,w,n,r,b,c,y,k,y,w,u,n,t,z,n,s,p,1
b,s,g,t,m,f,d,n,u,b,?,k,k,o,w,u,o,t,p,y,v,p,1
b,f,e,t,a,n,w,b,n,b,u,y,y,c,b,p,y,o,l,n,a,w,1
f,s,b,b,n,n,w,b,w,t,e,y,y,e,o,u,o,t,e,u,c,d,1
k,g,g,t,s,a,c,b,b,b,b,y,s,o,o,p,n,t,z,h,a,l,1
c,g,e,b,l,a,w,b,b,b,b,s,y,p,o,p,o,n,z,u,n,m,1
x,f,n,t,y,d,c,n,r,t,r,k,y,b,e,p,y,t,e,r,a,u,1
b,g,g,b,m,a,d,n,h,b,e,f,s,e,c,p,o,o,s,r,v,p,1
s,y,n,t,y,a,c,n,w,b,z,f,k,o,w,u,y,n,p,o,s,l,1
x,f,r,t,f,n,c,b,o,t,z,y,k,w,e,u,y,t,l,k,v,w,1
c,g,w,b,l,a,d,n,n,t,u,s,k,e,n,u,n,t,p,y,s,l,1
s,y,n,b,f,f,c,b,o,b,b,y,k,y,y,p,y,n,c,u,a,m,1
x,s,y,t,m,n,w,n,p,t,e,k,k,e,b,p,o,t,n,h,n,w,1
b,f,n,b,p,f,c,b,h,b,c,s,k,p,p,p,y,o,f,h,c,l,1
x,s,r,t,f,d,d,n,b,b,?,k,k,o,n,u,n,o,f,h,a,m,1
s,g,g,b,l,n,w,n,k,t,r,k,y,c,g,u,n,o,l,k,t,g,1
b,f,n,t,m,a,c,n,y,t,?,k,s,e,n,p,w,o,p,w,t,p,1
s,f,b,t,p,a,d,b,n,b,r,f,f,p,p,u,o,n,s,b,c,u,1
x,s,p,b,p,f,d,b,p,t,u,s,f,o,n,p,y,n,c,h,n,d,1
f,y,g,t,s,n,c,b,g,b,c,f,y,w,b,p,o,t,e,y,a,l,1
c,y,w,t,c,n,c,b,n,t,c,f,f,c,g,u,w,t,n,u,a,m,1
b,y,u,b,s,d,d,n,u,b,r,y,k,o,o,u,o,t,z,b,n,m,1
x,f,r,t,n,d,d,b,e,t,z,s,k,c,w,u,y,o,n,h,n,m,1
s,g,c,t,p,d,w,n,k,t,e,y,y,o,o,p,y,n,z,b,a,m,1
k,y,y,t,c,n,c,b,e,b,?,s,y,c,o,p,n,t,c,y,n,w,1
k,s,g,b,f,f,c,n,p,t,z,y,f,o,n,p,n,o,p,u,c,m,1
f,f,g,t,f,f,w,n,y,b,r,y,f,w,y,u,y,t,s,h,c,u,1
c,y,n,b,p,a,d,n,p,b,z,k,k,w,n,p,n,n,l,n,v,m,1
s,g,p,b,y,n,d,b,w,t,z,k,k,p,y,p,w,t,f,b,n,g,1
s,y,n,b,m,a,d,b,w,t,r,k,s,p,e,p,n,o,p,o,n,l,1
k,y,p,t,m,d,d,b,p,b,b,k,k,b,p,u,n,o,n,b,c,d,1
b,g,c,b,n,a,c,b,h,t,e,k,k,g,w,u,y,t,e,r,n,d,1
c,g,r,b,f,n,c,n,n,b,e,k,k,o,b,u,w,n,z,w,t,p,1
b,g,b,t,p,a,w,n,y,t,?,s,s,w,b,p,o,n,z,r,t,u,1
x,s,y,t,c,n,c,n,h,t,e,s,y,p,o,p,y,t,s,b,a,g,1
k,f,w,t,f,n,d,b,p,b,r,s,s,e,p,u,n,o,p,w,n,p,1
f,y,p,b,l,f,w,n,b,t,z,y,y,w,p,u,y,n,l,n,t,g,1
f,s,c,t,c,f,d,b,n,b,u,s,y,c,p,u,n,n,p,n,s,d,1
k,y,r,t,a,d,w,b,y,b,e,f,s,g,e,u,n,o,p,w,n,u,1
b,f,y,b,f,f,d,b,b,t,u,f,y,e,o,p,y,t,c,h,s,w,1
k,s,e,t,y,d,w,b,e,t,?,f,y,b,o,u,w,t,f,u,v,m,1
b,s,u,b,c,n,d,n,b,t,c,y,y,p,b,p,w,n,l,h,v,u,1
s,f,r,b,s,a,w,n,n,b,b,y,k,g,w,p,w,n,p,k,v,u,1
f,s,e,b,a,d,c,n,e,b,u,s,k,e,o,p,n,n,l,h,c,d,1
s,f,r,t,a,f,d,b,n,b,c,f,k,w,p,p,o,n,s,n,t,w,1
k,s,y,b,y,d,c,n,p,b,e,s,s,w,b,p,n,t,n,h,c,w,1
x,g,w,t,y,d,w,b,e,t,c,s,y,e,e,u,w,n,p,y,a,w,1
s,s,y,b,s,f,d,b,h,t,?,y,s,p,y,u,n,t,e,b,a,w,1
s,f,b,t,c,d,d,n,n,t,z,k,y,p,p,u,n,n,p,b,c,w,1
f,y,w,t,c,a,w,b,w,t,e,s,f,g,b,u,o,n,c,o,s,w,1
c,g,b,t,a,f,d,b,h,t,z,s,y,e,b,u,y,o,n,r,c,g,1
x,f,n,t,l,n,d,n,w,t,?,s,k,w,y,u,n,o,n,w,t,l,1
k,s,p,t,c,f,d,b,w,t,r,k,k,c,g,u,w,o,z,y,a,m,1
f,g,g,b,y,n,c,b,k,b,?,k,s,y,o,u,n,o,n,y,n,u,1
b,f,e,b,y,n,d,b,r,b,e,f,s,b,y,u,o,o,s,b,n,d,1
x,g,p,b,c,d,w,n,w,t,z,f,s,w,n,u,w,o,p,w,v,p,1
f,f,p,t,c,f,c,b,b,t,z,y,k,e,p,u,o,o,z,h,n,l,1
k,f,c,b,n,a,w,b,b,b,e,s,k,p,c,u,w,t,n,o,s,g,1
s,f,b,b,p,d,c,n,p,t,b,s,f,y,c,p,w,t,l,w,t,w,1
